fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC,minVal threshold,logit_roc_auc
0.009174311926605505,0.7164179104477612,1.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,meanDepth,0.8560104675399759,0.8560104675399759,1.0,0.8560104675399759
0.009174311926605505,0.7164179104477612,1.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,meanDepth_trunc5,0.8560104675399759,0.8560104675399759,1.0,0.8560104675399759
0.009174311926605505,0.7164179104477612,1.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,meanDepth_trunc10,0.8560104675399759,0.8560104675399759,1.0,0.8560104675399759
0.009174311926605505,0.7164179104477612,0.0023743437113333,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,AuG,0.8564669009691602,0.8564669009691602,0.1,0.8564669009691602
0.009174311926605505,0.7164179104477612,0.0023743437113333,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,AuG_trunc5,0.8564669009691602,0.8564669009691602,0.1,0.8564669009691602
0.009174311926605505,0.7164179104477612,71.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,bases,0.8563908287309628,0.8563908287309628,80.0,0.8563908287309628
0.009174311926605505,0.7164179104477612,0.2374343711333311,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,bases_perc,0.8564669009691602,0.8564669009691602,0.24,0.8564669009691602
0.009174311926605505,0.7164179104477612,71.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,Cov1,0.8563908287309628,0.8563908287309628,71.0,0.8563908287309628
0.0010193679918450561,0.47761194029850745,23.0,0.47761194029850745,0.9989806320081549,0.0010193679918450561,0.4765925723066624,Cov3,0.7385016811964641,0.7385016811964641,23.0,0.7385016811964641
0.0,0.373134328358209,246.0,0.373134328358209,1.0,0.0,0.3731343283582089,Cov5,0.6865671641791045,0.6865671641791045,246.0,0.6865671641791045
0.0,0.31343283582089554,36.0,0.31343283582089554,1.0,0.0,0.31343283582089554,Cov10,0.6567164179104478,0.6567164179104478,36.0,0.6567164179104478
0.0010193679918450561,0.47761194029850745,0.1747986016111871,0.47761194029850745,0.9989806320081549,0.0010193679918450561,0.4765925723066624,Cov3_perc,0.7384940739726444,0.7384940739726444,0.2,0.7384940739726444
0.0,0.373134328358209,1.8626309662398133,0.373134328358209,1.0,0.0,0.3731343283582089,Cov5_perc,0.6865671641791045,0.6865671641791045,1.9000000000000001,0.6865671641791045
0.0,0.31343283582089554,0.2735978112175102,0.31343283582089554,1.0,0.0,0.31343283582089554,Cov10_perc,0.6567164179104478,0.6567164179104478,0.30000000000000004,0.6567164179104478
0.009174311926605505,0.7313432835820896,1.0,0.7313432835820896,0.9908256880733946,0.009174311926605505,0.722168971655484,sample num reads,0.8638383008504877,0.8638383008504877,1.0,0.8638383008504877
0.009174311926605505,0.7313432835820896,2022.0,0.7313432835820896,0.9908256880733946,0.009174311926605505,0.722168971655484,total run reads mapped,0.8616930637333212,0.8616930637333212,10000.0,0.8616930637333212
0.009174311926605505,0.7313432835820896,1387754.0,0.7313432835820896,0.9908256880733946,0.009174311926605505,0.722168971655484,total run reads inc unmapped,0.8612366303041369,0.8612366303041369,1400000.0,0.8612366303041369
0.009174311926605505,0.7164179104477612,208.5,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,median_read_length,0.8531957947266724,0.8531957947266724,209.0,0.8531957947266724
0.009174311926605505,0.7164179104477612,71.0,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,median_aligned_length,0.8550139212195901,0.8550139212195901,71.0,0.8550139212195901
0.0030581039755351682,0.6119402985074627,1.0,0.6119402985074627,0.9969418960244648,0.0030581039755351682,0.6088821945319274,Sample_num_reads_200,0.8052550702146759,0.8052550702146759,1.0,0.8052550702146759
0.0010193679918450561,0.5223880597014925,1.0,0.5223880597014925,0.9989806320081549,0.0010193679918450561,0.5213686917096474,Sample_num_reads_300,0.7609201697932356,0.7609201697932356,1.0,0.7609201697932356
0.0,0.4626865671641791,1.0,0.4626865671641791,1.0,0.0,0.4626865671641791,Sample_num_reads_400,0.7313432835820896,0.7313432835820896,1.0,0.7313432835820896
