Adenovirus
Coronavirus 229E
Coronavirus HKU
Coronavirus NL63
Coronavirus OC43
Influenza A
Influenza A/H1-2009
Influenza A/H1
Influenza A/H3
Influenza B
Rhinovirus/enterovirus
Metapneumovirus
Parainfluenza 1
Parainfluenza 2
Parainfluenza 3
Parainfluenza 4
RSV
SARS-CoV-2
Bordetella_parapertussis
Bordetella_pertussis
Chlamydia_pneumoniae
Mycoplasma_pneumoniae
