fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC
0.0,0.0,37.03189897291868,0.0,1.0,0.0,0.0,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.014285714285714285,36.03189897291868,0.014285714285714285,1.0,0.0,0.014285714285714235,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.3142857142857143,1.1753691820933871,0.3142857142857143,1.0,0.0,0.3142857142857143,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.34285714285714286,0.7650621613006057,0.34285714285714286,1.0,0.0,0.34285714285714297,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.42857142857142855,0.3513327732376078,0.42857142857142855,1.0,0.0,0.4285714285714286,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.45714285714285713,0.3415456077234847,0.45714285714285713,1.0,0.0,0.4571428571428571,Sample_reads_percent_of_refs,0.9791901012373454
0.0,0.5,0.2520430764530665,0.5,1.0,0.0,0.5,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.5,0.2472799208704253,0.5,0.9921259842519685,0.007874015748031496,0.4921259842519685,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.5142857142857142,0.2459128375609089,0.5142857142857142,0.9921259842519685,0.007874015748031496,0.5064116985376828,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.5428571428571428,0.2231431303793433,0.5428571428571428,0.9921259842519685,0.007874015748031496,0.5349831271091112,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.5571428571428572,0.1457261259620201,0.5571428571428572,0.9921259842519685,0.007874015748031496,0.5492688413948257,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.5857142857142857,0.1184024773441413,0.5857142857142857,0.9921259842519685,0.007874015748031496,0.5778402699662544,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.6142857142857143,0.0807614652437265,0.6142857142857143,0.9921259842519685,0.007874015748031496,0.6064116985376828,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.6428571428571429,0.0774170044173231,0.6428571428571429,0.9921259842519685,0.007874015748031496,0.6349831271091113,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.7428571428571429,0.0346120565330256,0.7428571428571429,0.9921259842519685,0.007874015748031496,0.7349831271091114,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.7714285714285715,0.028843380444188,0.7714285714285715,0.9921259842519685,0.007874015748031496,0.7635545556805399,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.7857142857142857,0.0229130069502787,0.7857142857142857,0.9921259842519685,0.007874015748031496,0.7778402699662541,Sample_reads_percent_of_refs,0.9791901012373454
0.007874015748031496,0.8142857142857143,0.0182157657452525,0.8142857142857143,0.9921259842519685,0.007874015748031496,0.8064116985376828,Sample_reads_percent_of_refs,0.9791901012373454
0.023622047244094488,0.8142857142857143,0.0133254064248959,0.8142857142857143,0.9763779527559056,0.023622047244094488,0.7906636670416198,Sample_reads_percent_of_refs,0.9791901012373454
0.031496062992125984,0.8285714285714286,0.0126420522492602,0.8285714285714286,0.9685039370078741,0.031496062992125984,0.7970753655793028,Sample_reads_percent_of_refs,0.9791901012373454
0.031496062992125984,0.8571428571428571,0.0115373521776752,0.8571428571428571,0.9685039370078741,0.031496062992125984,0.8256467941507313,Sample_reads_percent_of_refs,0.9791901012373454
0.047244094488188976,0.8571428571428571,0.0099086355467175,0.8571428571428571,0.952755905511811,0.047244094488188976,0.8098987626546681,Sample_reads_percent_of_refs,0.9791901012373454
0.05511811023622047,0.8714285714285714,0.0091078828726262,0.8714285714285714,0.9448818897637795,0.05511811023622047,0.8163104611923511,Sample_reads_percent_of_refs,0.9791901012373454
0.08661417322834646,0.9285714285714286,0.0076376689834262,0.9285714285714286,0.9133858267716536,0.08661417322834646,0.8419572553430821,Sample_reads_percent_of_refs,0.9791901012373454
0.09448818897637795,0.9285714285714286,0.0071752188441747,0.9285714285714286,0.905511811023622,0.09448818897637795,0.8340832395950506,Sample_reads_percent_of_refs,0.9791901012373454
0.10236220472440945,0.9428571428571428,0.006491864668539,0.9428571428571428,0.8976377952755905,0.10236220472440945,0.8404949381327333,Sample_reads_percent_of_refs,0.9791901012373454
0.11023622047244094,0.9428571428571428,0.0063416567578279,0.9428571428571428,0.889763779527559,0.11023622047244094,0.8326209223847019,Sample_reads_percent_of_refs,0.9791901012373454
0.11811023622047244,0.9571428571428572,0.0057686760888376,0.9571428571428572,0.8818897637795275,0.11811023622047244,0.8390326209223846,Sample_reads_percent_of_refs,0.9791901012373454
0.12598425196850394,0.9571428571428572,0.0054668334050855,0.9571428571428572,0.8740157480314961,0.12598425196850394,0.8311586051743531,Sample_reads_percent_of_refs,0.9791901012373454
0.15748031496062992,0.9571428571428572,0.0045539414363131,0.9571428571428572,0.8425196850393701,0.15748031496062992,0.7996625421822272,Sample_reads_percent_of_refs,0.9791901012373454
0.1889763779527559,0.9857142857142858,0.0031708283789139,0.9857142857142858,0.8110236220472441,0.1889763779527559,0.7967379077615298,Sample_reads_percent_of_refs,0.9791901012373454
0.25196850393700787,0.9857142857142858,0.0017083854390892,0.9857142857142858,0.7480314960629921,0.25196850393700787,0.7337457817772779,Sample_reads_percent_of_refs,0.9791901012373454
0.2755905511811024,0.9857142857142858,0.0015854141894569,0.9857142857142858,0.7244094488188977,0.2755905511811024,0.7101237345331834,Sample_reads_percent_of_refs,0.9791901012373454
