alias,accession,ENA biosample accession
AD_winter_study_100425_barcode29,ERS27176628,SAMEA120475942
AD_winter_study_100425_barcode30,ERS27176629,SAMEA120475943
AD_winter_study_100425_barcode31,ERS27176630,SAMEA120475944
AD_winter_study_100425_barcode32,ERS27176631,SAMEA120475945
AD_winter_study_100425_barcode33,ERS27176632,SAMEA120475946
AD_winter_study_100425_barcode34,ERS27176633,SAMEA120475947
AD_winter_study_100425_barcode35,ERS27176634,SAMEA120475948
AD_winter_study_100425_barcode36,ERS27176635,SAMEA120475949
AD_winter_study_130825_rpt050825_barcode01,ERS27176636,SAMEA120475950
AD_winter_study_130825_rpt050825_barcode02,ERS27176637,SAMEA120475951
AD_winter_study_130825_rpt050825_barcode03,ERS27176638,SAMEA120475952
AD_winter_study_130825_rpt050825_barcode04,ERS27176639,SAMEA120475953
AD_winter_study_130825_rpt050825_barcode35,ERS27176640,SAMEA120475954
AD_winter_study_130825_rpt050825_barcode36,ERS27176641,SAMEA120475955
AD_winter_study_130825_rpt050825_barcode37,ERS27176642,SAMEA120475956
AD_winter_study_130825_rpt050825_barcode38,ERS27176643,SAMEA120475957
AD_winter_study_130825_rpt050825_barcode39,ERS27176644,SAMEA120475958
AD_winter_study_130825_rpt050825_barcode40,ERS27176645,SAMEA120475959
AD_winter_study_130825_rpt050825_barcode73,ERS27176646,SAMEA120475960
AD_winter_study_130825_rpt050825_barcode74,ERS27176647,SAMEA120475961
AD_winter_study_130825_rpt050825_barcode75,ERS27176648,SAMEA120475962
AD_winter_study_130825_rpt050825_barcode76,ERS27176649,SAMEA120475963
AD_winter_study_130825_rpt050825_barcode77,ERS27176650,SAMEA120475964
AD_winter_study_130825_rpt050825_barcode78,ERS27176651,SAMEA120475965
AD_winter_study_130825_rpt050825_barcode79,ERS27176652,SAMEA120475966
AD_winter_study_130825_rpt050825_barcode80,ERS27176653,SAMEA120475967
AD_winter_study_130825_rpt050825_barcode81,ERS27176654,SAMEA120475968
AD_winter_study_130825_rpt050825_barcode82,ERS27176655,SAMEA120475969
AD_winter_study_130825_rpt050825_barcode83,ERS27176656,SAMEA120475970
AD_winter_study_130825_rpt050825_barcode84,ERS27176657,SAMEA120475971
AD_winter_study_130825_rpt050825_barcode85,ERS27176658,SAMEA120475972
AD_winter_study_130825_rpt050825_barcode86,ERS27176659,SAMEA120475973
AD_winter_study_130825_rpt050825_barcode87,ERS27176660,SAMEA120475974
AD_winter_study_130825_rpt050825_barcode88,ERS27176661,SAMEA120475975
AD_winter_study_130825_rpt050825_barcode89,ERS27176662,SAMEA120475976
AD_winter_study_130825_rpt050825_barcode90,ERS27176663,SAMEA120475977
AD_winter_study_130825_rpt050825_barcode91,ERS27176664,SAMEA120475978
AD_winter_study_130825_rpt050825_barcode92,ERS27176665,SAMEA120475979
AD_winter_study_130825_rpt050825_barcode93,ERS27176666,SAMEA120475980
AD_winter_study_130825_rpt050825_barcode94,ERS27176667,SAMEA120475981
AD_winter_study_130825_rpt050825_barcode95,ERS27176668,SAMEA120475982
AD_winter_study_130825_rpt050825_barcode96,ERS27176669,SAMEA120475983
AD_winter_study_160725_barcode01,ERS27176670,SAMEA120475984
AD_winter_study_160725_barcode02,ERS27176671,SAMEA120475985
AD_winter_study_160725_barcode03,ERS27176672,SAMEA120475986
AD_winter_study_160725_barcode04,ERS27176673,SAMEA120475987
AD_winter_study_160725_barcode05,ERS27176674,SAMEA120475988
AD_winter_study_160725_barcode06,ERS27176675,SAMEA120475989
AD_winter_study_160725_barcode07,ERS27176676,SAMEA120475990
