fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,28122.0,0.0,1.0,0.0,0.0,Cov10,0.7338709677419355,0.7338709677419355
0.0,0.016129032258064516,28121.0,0.016129032258064516,1.0,0.0,0.016129032258064502,Cov10,0.7338709677419355,0.7338709677419355
0.0,0.3225806451612903,456.0,0.3225806451612903,1.0,0.0,0.32258064516129026,Cov10,0.7338709677419355,0.7338709677419355
0.0,0.3548387096774194,319.0,0.3548387096774194,1.0,0.0,0.3548387096774195,Cov10,0.7338709677419355,0.7338709677419355
0.0,0.43548387096774194,55.0,0.43548387096774194,1.0,0.0,0.435483870967742,Cov10,0.7338709677419355,0.7338709677419355
0.0,0.46774193548387094,36.0,0.46774193548387094,1.0,0.0,0.467741935483871,Cov10,0.7338709677419355,0.7338709677419355
1.0,1.0,0.0,1.0,0.0,1.0,0.0,Cov10,0.7338709677419355,0.7338709677419355
