fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,59392.0,0.0,1.0,0.0,0.0,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.016129032258064516,59391.0,0.016129032258064516,1.0,0.0,0.016129032258064502,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.3387096774193548,50.0,0.3387096774193548,1.0,0.0,0.33870967741935476,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.3709677419354839,44.0,0.3709677419354839,1.0,0.0,0.370967741935484,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.4032258064516129,25.0,0.4032258064516129,1.0,0.0,0.403225806451613,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.43548387096774194,24.0,0.43548387096774194,1.0,0.0,0.435483870967742,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.0,0.45161290322580644,22.0,0.45161290322580644,1.0,0.0,0.4516129032258065,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.00909090909090909,0.45161290322580644,21.0,0.45161290322580644,0.990909090909091,0.00909090909090909,0.44252199413489746,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.01818181818181818,0.4838709677419355,20.0,0.4838709677419355,0.9818181818181818,0.01818181818181818,0.4656891495601174,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.01818181818181818,0.532258064516129,17.0,0.532258064516129,0.9818181818181818,0.01818181818181818,0.5140762463343109,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.02727272727272727,0.532258064516129,15.0,0.532258064516129,0.9727272727272728,0.02727272727272727,0.5049853372434017,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.02727272727272727,0.5645161290322581,12.0,0.5645161290322581,0.9727272727272728,0.02727272727272727,0.5372434017595309,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.045454545454545456,0.5967741935483871,11.0,0.5967741935483871,0.9545454545454546,0.045454545454545456,0.5513196480938416,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.06363636363636363,0.5967741935483871,9.0,0.5967741935483871,0.9363636363636364,0.06363636363636363,0.5331378299120235,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.08181818181818182,0.6290322580645161,7.0,0.6290322580645161,0.9181818181818182,0.08181818181818182,0.5472140762463344,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.08181818181818182,0.6612903225806451,6.0,0.6612903225806451,0.9181818181818182,0.08181818181818182,0.5794721407624635,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.08181818181818182,0.6774193548387096,5.0,0.6774193548387096,0.9181818181818182,0.08181818181818182,0.595601173020528,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.12727272727272726,0.7258064516129032,4.0,0.7258064516129032,0.8727272727272728,0.12727272727272726,0.598533724340176,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.16363636363636364,0.7419354838709677,3.0,0.7419354838709677,0.8363636363636364,0.16363636363636364,0.5782991202346042,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.17272727272727273,0.8064516129032258,2.0,0.8064516129032258,0.8272727272727273,0.17272727272727273,0.6337243401759531,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
0.22727272727272727,0.8709677419354839,1.0,0.8709677419354839,0.7727272727272727,0.22727272727272727,0.6436950146627565,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
1.0,1.0,0.0,1.0,0.0,1.0,0.0,Sample_num_reads_200,0.8799853372434018,0.8799853372434018
