fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,5759.0,0.0,1.0,0.0,0.0,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.02040816326530612,5758.0,0.02040816326530612,1.0,0.0,0.020408163265306145,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.12244897959183673,893.0,0.12244897959183673,1.0,0.0,0.12244897959183665,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.16326530612244897,168.0,0.16326530612244897,1.0,0.0,0.16326530612244894,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.2857142857142857,82.0,0.2857142857142857,1.0,0.0,0.2857142857142856,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.32653061224489793,75.0,0.32653061224489793,1.0,0.0,0.3265306122448979,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.3673469387755102,54.0,0.3673469387755102,1.0,0.0,0.36734693877551017,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.40816326530612246,49.0,0.40816326530612246,1.0,0.0,0.40816326530612246,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.4897959183673469,32.0,0.4897959183673469,1.0,0.0,0.48979591836734704,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.5306122448979592,26.0,0.5306122448979592,1.0,0.0,0.5306122448979593,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.5510204081632653,18.0,0.5510204081632653,1.0,0.0,0.5510204081632653,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.5918367346938775,17.0,0.5918367346938775,1.0,0.0,0.5918367346938775,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.6326530612244898,12.0,0.6326530612244898,1.0,0.0,0.6326530612244898,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.673469387755102,9.0,0.673469387755102,1.0,0.0,0.6734693877551021,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.6938775510204082,8.0,0.6938775510204082,1.0,0.0,0.693877551020408,sample num reads,0.9104308390022675,0.9104308390022675
0.0,0.7551020408163265,6.0,0.7551020408163265,1.0,0.0,0.7551020408163265,sample num reads,0.9104308390022675,0.9104308390022675
0.1111111111111111,0.7755102040816326,5.0,0.7755102040816326,0.8888888888888888,0.1111111111111111,0.6643990929705215,sample num reads,0.9104308390022675,0.9104308390022675
0.1111111111111111,0.8163265306122449,4.0,0.8163265306122449,0.8888888888888888,0.1111111111111111,0.7052154195011338,sample num reads,0.9104308390022675,0.9104308390022675
0.1111111111111111,0.8367346938775511,3.0,0.8367346938775511,0.8888888888888888,0.1111111111111111,0.7256235827664399,sample num reads,0.9104308390022675,0.9104308390022675
0.2222222222222222,0.8775510204081632,2.0,0.8775510204081632,0.7777777777777778,0.2222222222222222,0.655328798185941,sample num reads,0.9104308390022675,0.9104308390022675
1.0,1.0,1.0,1.0,0.0,1.0,0.0,sample num reads,0.9104308390022675,0.9104308390022675
