fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,29836.0,0.0,1.0,0.0,0.0,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.02040816326530612,29835.0,0.02040816326530612,1.0,0.0,0.020408163265306145,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.22448979591836735,2608.0,0.22448979591836735,1.0,0.0,0.22448979591836737,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.2653061224489796,2018.0,0.2653061224489796,1.0,0.0,0.26530612244897966,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.2857142857142857,2007.0,0.2857142857142857,1.0,0.0,0.2857142857142856,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.32653061224489793,1463.0,0.32653061224489793,1.0,0.0,0.3265306122448979,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.3877551020408163,1045.0,0.3877551020408163,1.0,0.0,0.3877551020408163,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.42857142857142855,779.0,0.42857142857142855,1.0,0.0,0.4285714285714286,Cov3,0.8015873015873015,0.8015873015873015
0.0,0.5918367346938775,152.0,0.5918367346938775,1.0,0.0,0.5918367346938775,Cov3,0.8015873015873015,0.8015873015873015
0.1111111111111111,0.6122448979591837,63.0,0.6122448979591837,0.8888888888888888,0.1111111111111111,0.5011337868480725,Cov3,0.8015873015873015,0.8015873015873015
0.1111111111111111,0.6530612244897959,23.0,0.6530612244897959,0.8888888888888888,0.1111111111111111,0.5419501133786846,Cov3,0.8015873015873015,0.8015873015873015
1.0,1.0,0.0,1.0,0.0,1.0,0.0,Cov3,0.8015873015873015,0.8015873015873015
