fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC,minVal threshold,logit_roc_auc
0.1111111111111111,0.7959183673469388,1.013539651837524,0.7959183673469388,0.8888888888888888,0.1111111111111111,0.6848072562358276,meanDepth,0.8458049886621315,0.8458049886621315,1.1,0.8458049886621315
0.1111111111111111,0.7959183673469388,1.013539651837524,0.7959183673469388,0.8888888888888888,0.1111111111111111,0.6848072562358276,meanDepth_trunc5,0.8458049886621315,0.8458049886621315,1.1,0.8458049886621315
0.1111111111111111,0.7959183673469388,1.013539651837524,0.7959183673469388,0.8888888888888888,0.1111111111111111,0.6848072562358276,meanDepth_trunc10,0.8458049886621315,0.8458049886621315,1.1,0.8458049886621315
0.1111111111111111,0.8775510204081632,0.019486504279131,0.8775510204081632,0.8888888888888888,0.1111111111111111,0.766439909297052,AuG,0.9138321995464852,0.9138321995464852,0.1,0.9138321995464852
0.1111111111111111,0.8775510204081632,0.019486504279131,0.8775510204081632,0.8888888888888888,0.1111111111111111,0.766439909297052,AuG_trunc5,0.9138321995464852,0.9138321995464852,0.1,0.9138321995464852
0.0,0.7346938775510204,1137.0,0.7346938775510204,1.0,0.0,0.7346938775510203,bases,0.9024943310657596,0.9024943310657596,1140.0,0.9024943310657596
0.1111111111111111,0.8775510204081632,1.9486504279131007,0.8775510204081632,0.8888888888888888,0.1111111111111111,0.766439909297052,bases_perc,0.9138321995464852,0.9138321995464852,1.95,0.9138321995464852
0.0,0.7346938775510204,742.0,0.7346938775510204,1.0,0.0,0.7346938775510203,Cov1,0.9024943310657596,0.9024943310657596,742.0,0.9024943310657596
0.0,0.5918367346938775,152.0,0.5918367346938775,1.0,0.0,0.5918367346938775,Cov3,0.8015873015873015,0.8015873015873015,152.0,0.8015873015873015
0.0,0.5102040816326531,246.0,0.5102040816326531,1.0,0.0,0.510204081632653,Cov5,0.7551020408163265,0.7551020408163265,246.0,0.7551020408163265
0.0,0.42857142857142855,36.0,0.42857142857142855,1.0,0.0,0.4285714285714286,Cov10,0.7142857142857143,0.7142857142857143,36.0,0.7142857142857143
0.0,0.5918367346938775,0.7022706751830919,0.5918367346938775,1.0,0.0,0.5918367346938775,Cov3_perc,0.800453514739229,0.800453514739229,0.75,0.800453514739229
0.0,0.5102040816326531,1.8626309662398133,0.5102040816326531,1.0,0.0,0.510204081632653,Cov5_perc,0.7551020408163265,0.7551020408163265,1.9000000000000001,0.7551020408163265
0.0,0.42857142857142855,0.2735978112175102,0.42857142857142855,1.0,0.0,0.4285714285714286,Cov10_perc,0.7142857142857143,0.7142857142857143,0.30000000000000004,0.7142857142857143
0.0,0.7551020408163265,6.0,0.7551020408163265,1.0,0.0,0.7551020408163265,sample num reads,0.9104308390022675,0.9104308390022675,6.0,0.9104308390022675
0.4444444444444444,0.673469387755102,17335.0,0.673469387755102,0.5555555555555556,0.4444444444444444,0.22902494331065748,total run reads mapped,0.590702947845805,0.590702947845805,20000.0,0.590702947845805
0.3333333333333333,0.46938775510204084,2683997.0,0.46938775510204084,0.6666666666666667,0.3333333333333333,0.13605442176870763,total run reads inc unmapped,0.5226757369614512,0.5226757369614512,2700000.0,0.5226757369614512
0.5555555555555556,0.7346938775510204,318.0,0.7346938775510204,0.4444444444444444,0.5555555555555556,0.17913832199546498,median_read_length,0.42630385487528344,0.5736961451247166,0.0,0.5736961451247166
0.3333333333333333,0.8367346938775511,157.0,0.8367346938775511,0.6666666666666667,0.3333333333333333,0.5034013605442178,median_aligned_length,0.697278911564626,0.697278911564626,157.0,0.697278911564626
0.0,0.6938775510204082,3.0,0.6938775510204082,1.0,0.0,0.693877551020408,Sample_num_reads_200,0.8730158730158731,0.8730158730158731,3.0,0.8730158730158731
0.0,0.6326530612244898,2.0,0.6326530612244898,1.0,0.0,0.6326530612244898,Sample_num_reads_300,0.8367346938775511,0.8367346938775511,2.0,0.8367346938775511
0.0,0.6326530612244898,1.0,0.6326530612244898,1.0,0.0,0.6326530612244898,Sample_num_reads_400,0.8163265306122449,0.8163265306122449,1.0,0.8163265306122449
