fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,29836.0,0.0,1.0,0.0,0.0,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.014925373134328358,29835.0,0.014925373134328358,1.0,0.0,0.014925373134328401,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.16417910447761194,2608.0,0.16417910447761194,1.0,0.0,0.16417910447761197,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.19402985074626866,2018.0,0.19402985074626866,1.0,0.0,0.19402985074626855,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.208955223880597,2007.0,0.208955223880597,1.0,0.0,0.20895522388059695,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.23880597014925373,1463.0,0.23880597014925373,1.0,0.0,0.23880597014925375,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.2835820895522388,1045.0,0.2835820895522388,1.0,0.0,0.28358208955223874,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.31343283582089554,779.0,0.31343283582089554,1.0,0.0,0.31343283582089554,Cov3,0.7385016811964641,0.7385016811964641
0.0,0.43283582089552236,152.0,0.43283582089552236,1.0,0.0,0.4328358208955223,Cov3,0.7385016811964641,0.7385016811964641
0.0010193679918450561,0.44776119402985076,63.0,0.44776119402985076,0.9989806320081549,0.0010193679918450561,0.4467418260380056,Cov3,0.7385016811964641,0.7385016811964641
0.0010193679918450561,0.47761194029850745,23.0,0.47761194029850745,0.9989806320081549,0.0010193679918450561,0.4765925723066624,Cov3,0.7385016811964641,0.7385016811964641
1.0,1.0,0.0,1.0,0.0,1.0,0.0,Cov3,0.7385016811964641,0.7385016811964641
