fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,100.63782175656448,0.0,1.0,0.0,0.0,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.011494252873563218,99.63782175656448,0.011494252873563218,1.0,0.0,0.011494252873563315,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.2413793103448276,9.677902621722849,0.2413793103448276,1.0,0.0,0.24137931034482762,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.28735632183908044,5.3655570755433954,0.28735632183908044,1.0,0.0,0.28735632183908044,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.3448275862068966,2.101927305652568,0.3448275862068966,1.0,0.0,0.3448275862068966,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.367816091954023,1.8695850433196533,0.367816091954023,1.0,0.0,0.367816091954023,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0,0.3793103448275862,1.8626309662398133,0.3793103448275862,1.0,0.0,0.3793103448275863,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0007363770250368188,0.3793103448275862,1.80442374854482,0.3793103448275862,0.9992636229749632,0.0007363770250368188,0.3785739678025495,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0007363770250368188,0.39080459770114945,1.636269564092614,0.39080459770114945,0.9992636229749632,0.0007363770250368188,0.3900682206761126,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0029455081001472753,0.39080459770114945,0.9392446633825944,0.39080459770114945,0.9970544918998527,0.0029455081001472753,0.3878590896010021,Cov5_perc,0.7052841399624195,0.7052841399624195
0.0029455081001472753,0.40229885057471265,0.8084335790971413,0.40229885057471265,0.9970544918998527,0.0029455081001472753,0.39935334247456544,Cov5_perc,0.7052841399624195,0.7052841399624195
0.005154639175257732,0.40229885057471265,0.3169059630060794,0.40229885057471265,0.9948453608247423,0.005154639175257732,0.397144211399455,Cov5_perc,0.7052841399624195,0.7052841399624195
0.005154639175257732,0.41379310344827586,0.2586987453110852,0.41379310344827586,0.9948453608247423,0.005154639175257732,0.4086384642730181,Cov5_perc,0.7052841399624195,0.7052841399624195
1.0,1.0,0.0,1.0,0.0,1.0,0.0,Cov5_perc,0.7052841399624195,0.7052841399624195
