fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,5.981607196602347,0.0,1.0,0.0,0.0,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.014925373134328358,4.981607196602347,0.014925373134328358,1.0,0.0,0.014925373134328401,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.1791044776119403,1.2899178981937602,0.1791044776119403,1.0,0.0,0.17910447761194037,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.208955223880597,1.1015351877184982,0.208955223880597,1.0,0.0,0.20895522388059695,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.22388059701492538,1.0228912319644838,0.22388059701492538,1.0,0.0,0.22388059701492535,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.2537313432835821,0.746922024623803,0.2537313432835821,1.0,0.0,0.25373134328358216,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.3283582089552239,0.4557625145518044,0.3283582089552239,1.0,0.0,0.32835820895522394,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.3582089552238806,0.4175406596747226,0.3582089552238806,1.0,0.0,0.3582089552238805,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.3880597014925373,0.3227435374377153,0.3880597014925373,1.0,0.0,0.3880597014925373,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.417910447761194,0.278765769873841,0.417910447761194,1.0,0.0,0.4179104477611939,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0,0.5223880597014925,0.0865967408267702,0.5223880597014925,1.0,0.0,0.5223880597014925,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0010193679918450561,0.5223880597014925,0.081547347621219,0.5223880597014925,0.9989806320081549,0.0010193679918450561,0.5213686917096474,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0010193679918450561,0.6417910447761194,0.019486504279131,0.6417910447761194,0.9989806320081549,0.0010193679918450561,0.6407716767842744,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0020387359836901123,0.6417910447761194,0.0134100257499247,0.6417910447761194,0.9979612640163099,0.0020387359836901123,0.6397523087924293,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.0020387359836901123,0.6716417910447762,0.0096365282628379,0.6716417910447762,0.9979612640163099,0.0020387359836901123,0.6696030550610861,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.004077471967380225,0.6716417910447762,0.007925626191352,0.6716417910447762,0.9959225280326198,0.004077471967380225,0.6675643190773961,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.004077471967380225,0.7014925373134329,0.0046842978432712,0.7014925373134329,0.9959225280326198,0.004077471967380225,0.6974150653460527,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.009174311926605505,0.7014925373134329,0.0028759656221783,0.7014925373134329,0.9908256880733946,0.009174311926605505,0.6923182253868274,AuG_trunc5,0.8564669009691602,0.8564669009691602
0.009174311926605505,0.7164179104477612,0.0023743437113333,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,AuG_trunc5,0.8564669009691602,0.8564669009691602
1.0,1.0,0.0,1.0,0.0,1.0,0.0,AuG_trunc5,0.8564669009691602,0.8564669009691602
