fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC
0.0,0.0,348486.0,0.0,1.0,0.0,0.0,sample num reads,0.8006068762378752,0.19939312376212487
0.0007363770250368188,0.0,348485.0,0.0,0.9992636229749632,0.0007363770250368188,-0.0007363770250368162,sample num reads,0.8006068762378752,0.19939312376212487
0.016200294550810016,0.0,105545.0,0.0,0.9837997054491899,0.016200294550810016,-0.016200294550810068,sample num reads,0.8006068762378752,0.19939312376212487
0.016200294550810016,0.011494252873563218,105456.0,0.011494252873563218,0.9837997054491899,0.016200294550810016,-0.004706041677246864,sample num reads,0.8006068762378752,0.19939312376212487
0.04786450662739323,0.011494252873563218,56085.0,0.011494252873563218,0.9521354933726067,0.04786450662739323,-0.03637025375383007,sample num reads,0.8006068762378752,0.19939312376212487
0.04786450662739323,0.022988505747126436,53168.0,0.022988505747126436,0.9521354933726067,0.04786450662739323,-0.02487600088026687,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.022988505747126436,25451.0,0.022988505747126436,0.9432989690721649,0.05670103092783505,-0.03371252518070866,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.16091954022988506,893.0,0.16091954022988506,0.9432989690721649,0.05670103092783505,0.10421850930205001,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.1839080459770115,168.0,0.1839080459770115,0.9432989690721649,0.05670103092783505,0.12720701504917642,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.25287356321839083,82.0,0.25287356321839083,0.9432989690721649,0.05670103092783505,0.19617253229055587,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.27586206896551724,75.0,0.27586206896551724,0.9432989690721649,0.05670103092783505,0.21916103803768205,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.2988505747126437,54.0,0.2988505747126437,0.9432989690721649,0.05670103092783505,0.24214954378480869,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.3218390804597701,49.0,0.3218390804597701,0.9432989690721649,0.05670103092783505,0.2651380495319351,sample num reads,0.8006068762378752,0.19939312376212487
0.05670103092783505,0.3448275862068966,46.0,0.3448275862068966,0.9432989690721649,0.05670103092783505,0.2881265552790615,sample num reads,0.8006068762378752,0.19939312376212487
0.05817378497790869,0.3448275862068966,39.0,0.3448275862068966,0.9418262150220913,0.05817378497790869,0.28665380122898787,sample num reads,0.8006068762378752,0.19939312376212487
0.05891016200294551,0.3563218390804598,37.0,0.3563218390804598,0.9410898379970545,0.05891016200294551,0.29741167707751437,sample num reads,0.8006068762378752,0.19939312376212487
0.05891016200294551,0.3793103448275862,33.0,0.3793103448275862,0.9410898379970545,0.05891016200294551,0.32040018282464056,sample num reads,0.8006068762378752,0.19939312376212487
0.05964653902798233,0.39080459770114945,32.0,0.39080459770114945,0.9403534609720177,0.05964653902798233,0.33115805867316706,sample num reads,0.8006068762378752,0.19939312376212487
0.060382916053019146,0.39080459770114945,29.0,0.39080459770114945,0.9396170839469808,0.060382916053019146,0.33042168164813024,sample num reads,0.8006068762378752,0.19939312376212487
0.060382916053019146,0.41379310344827586,26.0,0.41379310344827586,0.9396170839469808,0.060382916053019146,0.35341018739525665,sample num reads,0.8006068762378752,0.19939312376212487
0.06111929307805596,0.41379310344827586,21.0,0.41379310344827586,0.938880706921944,0.06111929307805596,0.35267381037021983,sample num reads,0.8006068762378752,0.19939312376212487
0.061855670103092786,0.42528735632183906,19.0,0.42528735632183906,0.9381443298969072,0.061855670103092786,0.36343168621874633,sample num reads,0.8006068762378752,0.19939312376212487
0.061855670103092786,0.4367816091954023,18.0,0.4367816091954023,0.9381443298969072,0.061855670103092786,0.3749259390923094,sample num reads,0.8006068762378752,0.19939312376212487
0.061855670103092786,0.45977011494252873,17.0,0.45977011494252873,0.9381443298969072,0.061855670103092786,0.39791444483943605,sample num reads,0.8006068762378752,0.19939312376212487
0.0625920471281296,0.45977011494252873,16.0,0.45977011494252873,0.9374079528718704,0.0625920471281296,0.39717806781439924,sample num reads,0.8006068762378752,0.19939312376212487
0.06406480117820323,0.47126436781609193,14.0,0.47126436781609193,0.9359351988217968,0.06406480117820323,0.4071995666378887,sample num reads,0.8006068762378752,0.19939312376212487
0.06406480117820323,0.4827586206896552,12.0,0.4827586206896552,0.9359351988217968,0.06406480117820323,0.418693819511452,sample num reads,0.8006068762378752,0.19939312376212487
0.06553755522827688,0.4942528735632184,11.0,0.4942528735632184,0.9344624447717231,0.06553755522827688,0.4287153183349415,sample num reads,0.8006068762378752,0.19939312376212487
0.06701030927835051,0.5172413793103449,9.0,0.5172413793103449,0.9329896907216495,0.06701030927835051,0.4502310700319945,sample num reads,0.8006068762378752,0.19939312376212487
0.06701030927835051,0.5287356321839081,8.0,0.5287356321839081,0.9329896907216495,0.06701030927835051,0.46172532290555757,sample num reads,0.8006068762378752,0.19939312376212487
0.06848306332842416,0.5287356321839081,7.0,0.5287356321839081,0.9315169366715759,0.06848306332842416,0.46025256885548393,sample num reads,0.8006068762378752,0.19939312376212487
0.06995581737849779,0.5632183908045977,6.0,0.5632183908045977,0.9300441826215022,0.06995581737849779,0.4932625734261,sample num reads,0.8006068762378752,0.19939312376212487
0.07216494845360824,0.5747126436781609,5.0,0.5747126436781609,0.9278350515463918,0.07216494845360824,0.5025476952245527,sample num reads,0.8006068762378752,0.19939312376212487
