fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Sample_num_reads_200
0.0,0.24489795918367346,1.0,0.24489795918367346,1.0,0.0,0.24489795918367352,Sample_num_reads_200
0.0,0.2653061224489796,0.9999999999999885,0.2653061224489796,1.0,0.0,0.26530612244897966,Sample_num_reads_200
0.0,0.30612244897959184,0.9999999999994715,0.30612244897959184,1.0,0.0,0.30612244897959195,Sample_num_reads_200
0.0,0.3469387755102041,0.9999999033866855,0.3469387755102041,1.0,0.0,0.346938775510204,Sample_num_reads_200
0.0,0.3877551020408163,0.9999998171943006,0.3877551020408163,1.0,0.0,0.3877551020408163,Sample_num_reads_200
0.0,0.40816326530612246,0.9999993455219243,0.40816326530612246,1.0,0.0,0.40816326530612246,Sample_num_reads_200
0.0,0.4489795918367347,0.9999976568507897,0.4489795918367347,1.0,0.0,0.44897959183673475,Sample_num_reads_200
0.0,0.4897959183673469,0.9996151813525517,0.4897959183673469,1.0,0.0,0.48979591836734704,Sample_num_reads_200
0.0,0.5306122448979592,0.999272119936908,0.5306122448979592,1.0,0.0,0.5306122448979593,Sample_num_reads_200
0.0,0.5714285714285714,0.9907497984080642,0.5714285714285714,1.0,0.0,0.5714285714285714,Sample_num_reads_200
0.0,0.6122448979591837,0.9826406005354495,0.6122448979591837,1.0,0.0,0.6122448979591837,Sample_num_reads_200
0.0,0.6326530612244898,0.9676545553260198,0.6326530612244898,1.0,0.0,0.6326530612244898,Sample_num_reads_200
0.0,0.673469387755102,0.9405145067493966,0.673469387755102,1.0,0.0,0.6734693877551021,Sample_num_reads_200
0.0,0.6938775510204082,0.8931174226302834,0.6938775510204082,1.0,0.0,0.693877551020408,Sample_num_reads_200
0.1111111111111111,0.7755102040816326,0.8153687511171049,0.7755102040816326,0.8888888888888888,0.1111111111111111,0.6643990929705215,Sample_num_reads_200
0.3333333333333333,0.8367346938775511,0.7000576751089159,0.8367346938775511,0.6666666666666667,0.3333333333333333,0.5034013605442178,Sample_num_reads_200
1.0,1.0,0.5522745677981041,1.0,0.0,1.0,0.0,Sample_num_reads_200
