fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,1.9999999786286276,0.0,1.0,0.0,0.0,meanDepth_trunc10
0.0,0.016129032258064516,0.9999999786286276,0.016129032258064516,1.0,0.0,0.016129032258064502,meanDepth_trunc10
0.0,0.3387096774193548,0.9619575617203364,0.3387096774193548,1.0,0.0,0.33870967741935476,meanDepth_trunc10
0.0,0.4032258064516129,0.9214789328298678,0.4032258064516129,1.0,0.0,0.403225806451613,meanDepth_trunc10
0.0,0.41935483870967744,0.9158195073542408,0.41935483870967744,1.0,0.0,0.4193548387096775,meanDepth_trunc10
0.00909090909090909,0.41935483870967744,0.8911695136540307,0.41935483870967744,0.990909090909091,0.00909090909090909,0.41026392961876845,meanDepth_trunc10
0.00909090909090909,0.45161290322580644,0.8013540347343672,0.45161290322580644,0.990909090909091,0.00909090909090909,0.44252199413489746,meanDepth_trunc10
0.00909090909090909,0.4838709677419355,0.8009027296993153,0.4838709677419355,0.990909090909091,0.00909090909090909,0.47478005865102646,meanDepth_trunc10
0.00909090909090909,0.5,0.7771304153680376,0.5,0.990909090909091,0.00909090909090909,0.49090909090909096,meanDepth_trunc10
0.01818181818181818,0.5,0.7743990239296469,0.5,0.9818181818181818,0.01818181818181818,0.4818181818181819,meanDepth_trunc10
0.01818181818181818,0.5483870967741935,0.7108680276934425,0.5483870967741935,0.9818181818181818,0.01818181818181818,0.5302052785923754,meanDepth_trunc10
0.02727272727272727,0.5483870967741935,0.6187543354279094,0.5483870967741935,0.9727272727272728,0.02727272727272727,0.5211143695014662,meanDepth_trunc10
0.02727272727272727,0.5806451612903226,0.6136581804791928,0.5806451612903226,0.9727272727272728,0.02727272727272727,0.5533724340175954,meanDepth_trunc10
0.05454545454545454,0.5806451612903226,0.5976713329661322,0.5806451612903226,0.9454545454545454,0.05454545454545454,0.5260997067448681,meanDepth_trunc10
0.05454545454545454,0.5967741935483871,0.594716549620521,0.5967741935483871,0.9454545454545454,0.05454545454545454,0.5422287390029326,meanDepth_trunc10
0.08181818181818182,0.5967741935483871,0.5478525946281303,0.5967741935483871,0.9181818181818182,0.08181818181818182,0.5149560117302054,meanDepth_trunc10
0.08181818181818182,0.6290322580645161,0.517613543773342,0.6290322580645161,0.9181818181818182,0.08181818181818182,0.5472140762463344,meanDepth_trunc10
0.11818181818181818,0.6290322580645161,0.4901859710604956,0.6290322580645161,0.8818181818181818,0.11818181818181818,0.5108504398826978,meanDepth_trunc10
0.11818181818181818,0.6612903225806451,0.4803103269247467,0.6612903225806451,0.8818181818181818,0.11818181818181818,0.5431085043988269,meanDepth_trunc10
0.16363636363636364,0.6612903225806451,0.45453120934886454,0.6612903225806451,0.8363636363636364,0.16363636363636364,0.49765395894428144,meanDepth_trunc10
0.16363636363636364,0.6774193548387096,0.44760417559481364,0.6774193548387096,0.8363636363636364,0.16363636363636364,0.5137829912023459,meanDepth_trunc10
0.18181818181818182,0.6774193548387096,0.4286414773505866,0.6774193548387096,0.8181818181818181,0.18181818181818182,0.49560117302052786,meanDepth_trunc10
0.18181818181818182,0.7096774193548387,0.41609389430728677,0.7096774193548387,0.8181818181818181,0.18181818181818182,0.5278592375366569,meanDepth_trunc10
0.19090909090909092,0.7096774193548387,0.3976120882535645,0.7096774193548387,0.8090909090909091,0.19090909090909092,0.5187683284457478,meanDepth_trunc10
0.19090909090909092,0.8064516129032258,0.3346490035842319,0.8064516129032258,0.8090909090909091,0.19090909090909092,0.6155425219941348,meanDepth_trunc10
0.2,0.8064516129032258,0.3299394348100843,0.8064516129032258,0.8,0.2,0.6064516129032258,meanDepth_trunc10
0.2,0.8225806451612904,0.321619421536895,0.8225806451612904,0.8,0.2,0.6225806451612903,meanDepth_trunc10
0.3,0.9838709677419355,0.3155938746770078,0.9838709677419355,0.7,0.3,0.6838709677419355,meanDepth_trunc10
1.0,1.0,0.05603788491163495,1.0,0.0,1.0,0.0,meanDepth_trunc10
