fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,meanDepth
0.0,0.04081632653061224,1.0,0.04081632653061224,1.0,0.0,0.04081632653061229,meanDepth
0.0,0.2857142857142857,0.9620939705146822,0.2857142857142857,1.0,0.0,0.2857142857142856,meanDepth
0.0,0.3673469387755102,0.9387212035869065,0.3673469387755102,1.0,0.0,0.36734693877551017,meanDepth
0.0,0.3877551020408163,0.9364676200952061,0.3877551020408163,1.0,0.0,0.3877551020408163,meanDepth
0.0,0.42857142857142855,0.8988664499521741,0.42857142857142855,1.0,0.0,0.4285714285714286,meanDepth
0.0,0.5102040816326531,0.8744864947114426,0.5102040816326531,1.0,0.0,0.510204081632653,meanDepth
0.1111111111111111,0.5102040816326531,0.8465518727393917,0.5102040816326531,0.8888888888888888,0.1111111111111111,0.3990929705215418,meanDepth
0.1111111111111111,0.5714285714285714,0.8194729386298539,0.5714285714285714,0.8888888888888888,0.1111111111111111,0.46031746031746024,meanDepth
0.1111111111111111,0.6122448979591837,0.8079704552477647,0.6122448979591837,0.8888888888888888,0.1111111111111111,0.5011337868480725,meanDepth
0.1111111111111111,0.7959183673469388,0.7497835714960962,0.7959183673469388,0.8888888888888888,0.1111111111111111,0.6848072562358276,meanDepth
1.0,0.9795918367346939,0.7471265869227813,0.9795918367346939,0.0,1.0,-0.020408163265306145,meanDepth
1.0,1.0,0.5102535794451841,1.0,0.0,1.0,0.0,meanDepth
