fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,bases_perc
0.0,0.30612244897959184,1.0,0.30612244897959184,1.0,0.0,0.30612244897959195,bases_perc
0.0,0.32653061224489793,0.9999999999999978,0.32653061224489793,1.0,0.0,0.3265306122448979,bases_perc
0.0,0.3673469387755102,0.9999999999979201,0.3673469387755102,1.0,0.0,0.36734693877551017,bases_perc
0.0,0.4489795918367347,0.9999998987416705,0.4489795918367347,1.0,0.0,0.44897959183673475,bases_perc
0.0,0.4897959183673469,0.9999984459387622,0.4897959183673469,1.0,0.0,0.48979591836734704,bases_perc
0.0,0.5306122448979592,0.9999625954789888,0.5306122448979592,1.0,0.0,0.5306122448979593,bases_perc
0.0,0.5714285714285714,0.999847613748956,0.5714285714285714,1.0,0.0,0.5714285714285714,bases_perc
0.0,0.7142857142857143,0.934051608400196,0.7142857142857143,1.0,0.0,0.7142857142857144,bases_perc
0.1111111111111111,0.7142857142857143,0.9233933220741724,0.7142857142857143,0.8888888888888888,0.1111111111111111,0.6031746031746033,bases_perc
0.1111111111111111,0.8775510204081632,0.6241071515056125,0.8775510204081632,0.8888888888888888,0.1111111111111111,0.766439909297052,bases_perc
0.2222222222222222,0.8775510204081632,0.5775984537956189,0.8775510204081632,0.7777777777777778,0.2222222222222222,0.655328798185941,bases_perc
0.2222222222222222,0.9183673469387755,0.5479494724944235,0.9183673469387755,0.7777777777777778,0.2222222222222222,0.6961451247165533,bases_perc
0.4444444444444444,0.9183673469387755,0.5343804938031477,0.9183673469387755,0.5555555555555556,0.4444444444444444,0.4739229024943312,bases_perc
0.4444444444444444,0.9591836734693877,0.5085502979969753,0.9591836734693877,0.5555555555555556,0.4444444444444444,0.5147392290249433,bases_perc
1.0,0.9591836734693877,0.4941109260324421,0.9591836734693877,0.0,1.0,-0.04081632653061229,bases_perc
1.0,1.0,0.47117655722489415,1.0,0.0,1.0,0.0,bases_perc
