fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,sample num reads
0.0,0.32653061224489793,1.0,0.32653061224489793,1.0,0.0,0.3265306122448979,sample num reads
0.0,0.3673469387755102,0.999999999997792,0.3673469387755102,1.0,0.0,0.36734693877551017,sample num reads
0.0,0.40816326530612246,0.9999999999721048,0.40816326530612246,1.0,0.0,0.40816326530612246,sample num reads
0.0,0.4897959183673469,0.9999998448800488,0.4897959183673469,1.0,0.0,0.48979591836734704,sample num reads
0.0,0.5306122448979592,0.9999967455363667,0.5306122448979592,1.0,0.0,0.5306122448979593,sample num reads
0.0,0.5510204081632653,0.9998117146473711,0.5510204081632653,1.0,0.0,0.5510204081632653,sample num reads
0.0,0.5918367346938775,0.999687345492285,0.5918367346938775,1.0,0.0,0.5918367346938775,sample num reads
0.0,0.6326530612244898,0.9960645093025972,0.6326530612244898,1.0,0.0,0.6326530612244898,sample num reads
0.0,0.673469387755102,0.9822242219741159,0.673469387755102,1.0,0.0,0.6734693877551021,sample num reads
0.0,0.6938775510204082,0.9708217226036152,0.6938775510204082,1.0,0.0,0.693877551020408,sample num reads
0.0,0.7551020408163265,0.9234511843460516,0.7551020408163265,1.0,0.0,0.7551020408163265,sample num reads
0.1111111111111111,0.7755102040816326,0.8789925982325157,0.7755102040816326,0.8888888888888888,0.1111111111111111,0.6643990929705215,sample num reads
0.1111111111111111,0.8163265306122449,0.8139161897671241,0.8163265306122449,0.8888888888888888,0.1111111111111111,0.7052154195011338,sample num reads
0.1111111111111111,0.8367346938775511,0.724799612919905,0.8367346938775511,0.8888888888888888,0.1111111111111111,0.7256235827664399,sample num reads
0.2222222222222222,0.8775510204081632,0.6132824894577684,0.8775510204081632,0.7777777777777778,0.2222222222222222,0.655328798185941,sample num reads
1.0,1.0,0.4884687087175717,1.0,0.0,1.0,0.0,sample num reads
