fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,bases
0.0,0.30612244897959184,1.0,0.30612244897959184,1.0,0.0,0.30612244897959195,bases
0.0,0.3673469387755102,0.9999999999645137,0.3673469387755102,1.0,0.0,0.36734693877551017,bases
0.0,0.40816326530612246,0.9999999999410782,0.40816326530612246,1.0,0.0,0.40816326530612246,bases
0.0,0.4897959183673469,0.999999383510645,0.4897959183673469,1.0,0.0,0.48979591836734704,bases
0.0,0.5714285714285714,0.9994967663218859,0.5714285714285714,1.0,0.0,0.5714285714285714,bases
0.0,0.7346938775510204,0.8983308568091587,0.7346938775510204,1.0,0.0,0.7346938775510203,bases
0.1111111111111111,0.7346938775510204,0.8851250700166582,0.7346938775510204,0.8888888888888888,0.1111111111111111,0.6235827664399092,bases
0.1111111111111111,0.8367346938775511,0.704180598545931,0.8367346938775511,0.8888888888888888,0.1111111111111111,0.7256235827664399,bases
0.2222222222222222,0.8367346938775511,0.6465992749958128,0.8367346938775511,0.7777777777777778,0.2222222222222222,0.614512471655329,bases
0.2222222222222222,0.8775510204081632,0.5937462317036849,0.8775510204081632,0.7777777777777778,0.2222222222222222,0.655328798185941,bases
0.4444444444444444,0.8775510204081632,0.5629743108969992,0.8775510204081632,0.5555555555555556,0.4444444444444444,0.43310657596371893,bases
0.4444444444444444,0.9591836734693877,0.5135632185453198,0.9591836734693877,0.5555555555555556,0.4444444444444444,0.5147392290249433,bases
1.0,0.9591836734693877,0.4825505224712101,0.9591836734693877,0.0,1.0,-0.04081632653061229,bases
1.0,1.0,0.43688215689900994,1.0,0.0,1.0,0.0,bases
