fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Cov3_perc
0.0,0.12244897959183673,1.0,0.12244897959183673,1.0,0.0,0.12244897959183665,Cov3_perc
0.0,0.2653061224489796,0.9999974749084243,0.2653061224489796,1.0,0.0,0.26530612244897966,Cov3_perc
0.0,0.3469387755102041,0.9998818677264949,0.3469387755102041,1.0,0.0,0.346938775510204,Cov3_perc
0.0,0.40816326530612246,0.9969744532787034,0.40816326530612246,1.0,0.0,0.40816326530612246,Cov3_perc
0.0,0.4489795918367347,0.9946597694467912,0.4489795918367347,1.0,0.0,0.44897959183673475,Cov3_perc
0.0,0.5918367346938775,0.8015795593931445,0.5918367346938775,1.0,0.0,0.5918367346938775,Cov3_perc
0.1111111111111111,0.5918367346938775,0.7741909355165669,0.5918367346938775,0.8888888888888888,0.1111111111111111,0.4807256235827664,Cov3_perc
0.1111111111111111,0.6122448979591837,0.7404829519656454,0.6122448979591837,0.8888888888888888,0.1111111111111111,0.5011337868480725,Cov3_perc
0.1111111111111111,0.6530612244897959,0.732813476673817,0.6530612244897959,0.8888888888888888,0.1111111111111111,0.5419501133786846,Cov3_perc
1.0,1.0,0.7069492528078439,1.0,0.0,1.0,0.0,Cov3_perc
