fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,AuG
0.0,0.14942528735632185,1.0,0.14942528735632185,1.0,0.0,0.14942528735632177,AuG
0.0,0.2413793103448276,0.9892032555078484,0.2413793103448276,1.0,0.0,0.24137931034482762,AuG
0.0,0.26436781609195403,0.9687337832350694,0.26436781609195403,1.0,0.0,0.26436781609195403,AuG
0.0,0.27586206896551724,0.8744008510177835,0.27586206896551724,1.0,0.0,0.27586206896551735,AuG
0.0,0.2988505747126437,0.7103120099044083,0.2988505747126437,1.0,0.0,0.29885057471264376,AuG
0.0,0.3448275862068966,0.453554291983712,0.3448275862068966,1.0,0.0,0.3448275862068966,AuG
0.0014727540500736377,0.3448275862068966,0.4435550493187392,0.3448275862068966,0.9985272459499264,0.0014727540500736377,0.34335483215682294,AuG
0.0014727540500736377,0.367816091954023,0.322920983115866,0.367816091954023,0.9985272459499264,0.0014727540500736377,0.36634333790394935,AuG
0.0022091310751104565,0.367816091954023,0.31943645481158645,0.367816091954023,0.9977908689248896,0.0022091310751104565,0.36560696087891253,AuG
0.0022091310751104565,0.39080459770114945,0.23963932635126206,0.39080459770114945,0.9977908689248896,0.0022091310751104565,0.38859546662603894,AuG
0.003681885125184094,0.39080459770114945,0.22812736316943352,0.39080459770114945,0.9963181148748159,0.003681885125184094,0.3871227125759653,AuG
0.003681885125184094,0.41379310344827586,0.16284648504973803,0.41379310344827586,0.9963181148748159,0.003681885125184094,0.4101112183230917,AuG
0.005154639175257732,0.41379310344827586,0.15300302141373284,0.41379310344827586,0.9948453608247423,0.005154639175257732,0.4086384642730181,AuG
0.005154639175257732,0.4367816091954023,0.13583829818430648,0.4367816091954023,0.9948453608247423,0.005154639175257732,0.4316269700201447,AuG
0.005154639175257732,0.4482758620689655,0.1339266662666286,0.4482758620689655,0.9948453608247423,0.005154639175257732,0.4431212228937078,AuG
0.0066273932253313695,0.4482758620689655,0.1107591755446456,0.4482758620689655,0.9933726067746687,0.0066273932253313695,0.4416484688436342,AuG
0.0066273932253313695,0.4827586206896552,0.08228867003439232,0.4827586206896552,0.9933726067746687,0.0066273932253313695,0.4761312274643239,AuG
0.010309278350515464,0.4827586206896552,0.07149807453133628,0.4827586206896552,0.9896907216494846,0.010309278350515464,0.4724493423391398,AuG
0.010309278350515464,0.5057471264367817,0.0676810156678274,0.5057471264367817,0.9896907216494846,0.010309278350515464,0.49543784808626623,AuG
0.011782032400589101,0.5057471264367817,0.06194150071598544,0.5057471264367817,0.9882179675994109,0.011782032400589101,0.4939650940361926,AuG
0.011782032400589101,0.5402298850574713,0.05833464613085907,0.5402298850574713,0.9882179675994109,0.011782032400589101,0.5284478526568823,AuG
0.013991163475699559,0.5402298850574713,0.056045133972542384,0.5402298850574713,0.9860088365243005,0.013991163475699559,0.5262387215817719,AuG
0.013991163475699559,0.5632183908045977,0.052531620337984676,0.5632183908045977,0.9860088365243005,0.013991163475699559,0.5492272273288981,AuG
0.014727540500736377,0.5632183908045977,0.050298299923244326,0.5632183908045977,0.9852724594992637,0.014727540500736377,0.5484908503038612,AuG
0.014727540500736377,0.5862068965517241,0.04837512193675023,0.5862068965517241,0.9852724594992637,0.014727540500736377,0.5714793560509879,AuG
0.016200294550810016,0.5862068965517241,0.04653181933814626,0.5862068965517241,0.9837997054491899,0.016200294550810016,0.570006602000914,AuG
0.016200294550810016,0.6091954022988506,0.044067674819159,0.6091954022988506,0.9837997054491899,0.016200294550810016,0.5929951077480404,AuG
0.016936671575846832,0.6091954022988506,0.04363154155234992,0.6091954022988506,0.9830633284241531,0.016936671575846832,0.5922587307230036,AuG
0.016936671575846832,0.632183908045977,0.04283427988627758,0.632183908045977,0.9830633284241531,0.016936671575846832,0.6152472364701302,AuG
0.018409425625920472,0.632183908045977,0.04164322108602346,0.632183908045977,0.9815905743740795,0.018409425625920472,0.6137744824200566,AuG
0.018409425625920472,0.6551724137931034,0.04091958621562792,0.6551724137931034,0.9815905743740795,0.018409425625920472,0.6367629881671828,AuG
0.020618556701030927,0.6551724137931034,0.04054719819453816,0.6551724137931034,0.979381443298969,0.020618556701030927,0.6345538570920723,AuG
0.020618556701030927,0.6896551724137931,0.03998815911827563,0.6896551724137931,0.979381443298969,0.020618556701030927,0.6690366157127623,AuG
0.024300441826215022,0.6896551724137931,0.039653134354272514,0.6896551724137931,0.975699558173785,0.024300441826215022,0.6653547305875782,AuG
0.024300441826215022,0.7011494252873564,0.03956067800653324,0.7011494252873564,0.975699558173785,0.024300441826215022,0.6768489834611413,AuG
1.0,1.0,0.039125849075262766,1.0,0.0,1.0,0.0,AuG
