fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Cov5
0.0,0.1839080459770115,1.0,0.1839080459770115,1.0,0.0,0.1839080459770115,Cov5
0.0,0.21839080459770116,0.9999999951094951,0.21839080459770116,1.0,0.0,0.21839080459770122,Cov5
0.0,0.2413793103448276,0.9999999932012378,0.2413793103448276,1.0,0.0,0.24137931034482762,Cov5
0.0,0.26436781609195403,0.9999999406090538,0.26436781609195403,1.0,0.0,0.26436781609195403,Cov5
0.0,0.28735632183908044,0.9998735064849479,0.28735632183908044,1.0,0.0,0.28735632183908044,Cov5
0.0,0.3563218390804598,0.8490799459999124,0.3563218390804598,1.0,0.0,0.35632183908045967,Cov5
0.0007363770250368188,0.3563218390804598,0.8279760048944984,0.3563218390804598,0.9992636229749632,0.0007363770250368188,0.35558546205542285,Cov5
0.0007363770250368188,0.367816091954023,0.7540871485408155,0.367816091954023,0.9992636229749632,0.0007363770250368188,0.36707971492898617,Cov5
0.0007363770250368188,0.39080459770114945,0.7308926569001339,0.39080459770114945,0.9992636229749632,0.0007363770250368188,0.3900682206761126,Cov5
0.0029455081001472753,0.39080459770114945,0.3128599667136217,0.39080459770114945,0.9970544918998527,0.0029455081001472753,0.3878590896010021,Cov5
0.0029455081001472753,0.40229885057471265,0.24994827192454505,0.40229885057471265,0.9970544918998527,0.0029455081001472753,0.39935334247456544,Cov5
0.005154639175257732,0.40229885057471265,0.08191046363314577,0.40229885057471265,0.9948453608247423,0.005154639175257732,0.397144211399455,Cov5
0.005154639175257732,0.41379310344827586,0.07091481452112802,0.41379310344827586,0.9948453608247423,0.005154639175257732,0.4086384642730181,Cov5
1.0,1.0,0.03674593902153784,1.0,0.0,1.0,0.0,Cov5
