fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,meanDepth
0.0,0.1044776119402985,1.0,0.1044776119402985,1.0,0.0,0.10447761194029859,meanDepth
0.0,0.208955223880597,0.9996623712542354,0.208955223880597,1.0,0.0,0.20895522388059695,meanDepth
0.0,0.26865671641791045,0.9978385495191973,0.26865671641791045,1.0,0.0,0.26865671641791034,meanDepth
0.0,0.2835820895522388,0.9975101412242942,0.2835820895522388,1.0,0.0,0.28358208955223874,meanDepth
0.0,0.31343283582089554,0.9841889033152014,0.31343283582089554,1.0,0.0,0.31343283582089554,meanDepth
0.0,0.373134328358209,0.9621298488942639,0.373134328358209,1.0,0.0,0.3731343283582089,meanDepth
0.0010193679918450561,0.373134328358209,0.9149689272967595,0.373134328358209,0.9989806320081549,0.0010193679918450561,0.3721149603663638,meanDepth
0.0010193679918450561,0.417910447761194,0.839975601858553,0.417910447761194,0.9989806320081549,0.0010193679918450561,0.416891079769349,meanDepth
0.0010193679918450561,0.44776119402985076,0.7987773742412945,0.44776119402985076,0.9989806320081549,0.0010193679918450561,0.4467418260380056,meanDepth
0.0010193679918450561,0.582089552238806,0.5323045518092041,0.582089552238806,0.9989806320081549,0.0010193679918450561,0.5810701842469608,meanDepth
0.009174311926605505,0.7164179104477612,0.5193540085477267,0.7164179104477612,0.9908256880733946,0.009174311926605505,0.7072435985211558,meanDepth
1.0,1.0,0.022777071072826886,1.0,0.0,1.0,0.0,meanDepth
