fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric,ROC AUC,logit ROC AUC,minVal threshold,logit_roc_auc
0.024300441826215022,0.7011494252873564,0.0023743437113333,0.7011494252873564,0.975699558173785,0.024300441826215022,0.6768489834611413,AuG_trunc10,0.8428893064513399,0.8428893064513399,0.003,0.8428893064513399
0.024300441826215022,0.7011494252873564,0.2374343711333311,0.7011494252873564,0.975699558173785,0.024300441826215022,0.6768489834611413,Cov1_perc,0.8428639141401317,0.8428639141401317,0.25,0.8428639141401317
0.024300441826215022,0.7126436781609196,2.5297581778860176e-05,0.7126436781609196,0.975699558173785,0.024300441826215022,0.6883432363347044,Sample_reads_percent_of_run,0.8494108983799706,0.8494108983799706,3.0000000000000004e-05,0.8494108983799706
0.024300441826215022,0.7126436781609196,0.0003416770878178,0.7126436781609196,0.975699558173785,0.024300441826215022,0.6883432363347044,Sample_reads_percent_of_refs,0.8515438525214566,0.8515438525214566,0.001,0.8515438525214566
0.08026509572901326,0.7126436781609196,0.005701815769149,0.7126436781609196,0.9197349042709867,0.08026509572901326,0.6323785824319064,Sample_reads_percent_of_type_run,0.8335830243935469,0.8335830243935469,0.006,0.8335830243935469
0.08100147275405008,0.7126436781609196,14.285714285714285,0.7126436781609196,0.9189985272459499,0.08100147275405008,0.6316422054068696,Sample_reads_percent_of_type_sample,0.8126216714912058,0.8126216714912058,15.0,0.8126216714912058
0.024300441826215022,0.7011494252873564,218.3333333333333,0.7011494252873564,0.975699558173785,0.024300441826215022,0.6768489834611413,mean_read_length,0.8347553027609906,0.8347553027609906,220.0,0.8347553027609906
0.024300441826215022,0.7011494252873564,71.0,0.7011494252873564,0.975699558173785,0.024300441826215022,0.6768489834611413,mean_aligned_length,0.8394952008531816,0.8394952008531816,70.0,0.8394952008531816
